,locID,lat,lon,data
2327,1148125,37.25,-76.94,119873.89191491292
2328,1113628,38.29,-78.02,119683.98341200172
2329,1108168,37.81,-78.22,119513.05890152336
2330,1069233,38.21,-79.82,114124.43141845292
2331,1108033,37.37,-78.22,121141.09624103381
2332,1195788,37.81,-75.5,121393.56935285518
2333,1168191,37.33,-76.34,120558.07755416787
2334,1155129,37.33,-76.74,120581.42056752615
2335,1143869,37.21,-77.06,120930.22398232121
2336,1119086,38.13,-77.86,119420.02195401439
2337,1092856,38.69,-78.82,115737.95636519704
2338,1112521,37.09,-78.06,123063.42146719492
2339,1119129,38.81,-77.86,115803.48674262136
2340,1069927,36.73,-79.78,122118.05511848393
2341,1085318,36.57,-79.1,124243.6077140911
2342,1120003,36.73,-77.82,123170.52817667711
2343,1022823,36.69,-81.86,119999.17479974536
2344,1102526,38.05,-78.42,119218.5388909907
2345,1073732,37.61,-79.62,119627.19025674889
2346,1138988,38.69,-77.22,116566.14547807034
2347,1027116,36.73,-81.66,117091.29685979117
2348,1066254,37.93,-79.94,115244.260141437
2349,1067617,36.69,-79.86,122105.43904308057
2350,1113655,36.93,-78.02,123231.62431984136
2351,1112280,36.73,-78.1,123839.15132924497
